
2024/05/12 (02:12:25) | ===> btop++ v.1.3.2
2024/05/12 (02:12:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (15:44:29) | ===> btop++ v.1.3.2
2024/05/12 (15:44:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (15:47:51) | ===> btop++ v.1.3.2
2024/05/12 (15:47:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (16:16:02) | ===> btop++ v.1.3.2
2024/05/12 (16:16:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (16:19:50) | ===> btop++ v.1.3.2
2024/05/12 (16:19:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (16:20:06) | ===> btop++ v.1.3.2
2024/05/12 (16:20:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (16:21:27) | ===> btop++ v.1.3.2
2024/05/12 (16:21:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (16:21:34) | ===> btop++ v.1.3.2
2024/05/12 (16:21:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (17:08:02) | ===> btop++ v.1.3.2
2024/05/12 (17:08:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (18:12:02) | ===> btop++ v.1.3.2
2024/05/12 (18:12:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (18:12:13) | ===> btop++ v.1.3.2
2024/05/12 (18:12:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (20:39:16) | ===> btop++ v.1.3.2
2024/05/12 (20:39:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (00:19:40) | ===> btop++ v.1.3.2
2024/05/13 (00:19:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (01:45:36) | ===> btop++ v.1.3.2
2024/05/13 (01:45:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (01:52:57) | ===> btop++ v.1.3.2
2024/05/13 (01:52:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (02:01:15) | ===> btop++ v.1.3.2
2024/05/13 (02:01:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (02:01:24) | ===> btop++ v.1.3.2
2024/05/13 (02:01:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (15:03:41) | ===> btop++ v.1.3.2
2024/05/13 (15:03:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (15:19:01) | ===> btop++ v.1.3.2
